description,time
Ascending from bottom note on instrument,3
Descending from top note on instrument,3
Ascending in 3rds,3
Descending in 3rds,3
Ascending in 4ths,3
Descending in 4ths,3
Ascending in 6ths,3
Descending in 6ths,3
Ascending in 7ths,3
Descending in 7ths,3
